Date,Views,Video
2020-06-17,33,#1
2020-06-18,27,#1
2020-06-19,22,#1
2020-06-20,22,#1
2020-06-21,16,#1
2020-06-22,15,#1
2020-06-23,22,#1
2020-06-24,13,#1
2020-06-25,21,#1
2020-06-26,23,#1
2020-06-27,14,#1
2020-06-28,10,#1
2020-06-29,15,#1
2020-06-30,19,#1
2020-07-01,12,#1
2020-07-02,15,#1
2020-07-03,9,#1
2020-07-04,2,#1
2020-07-05,10,#1
2020-07-06,17,#1
2020-07-07,13,#1
2020-07-08,12,#1
2020-07-09,35,#1
2020-07-10,12,#1
2020-07-11,9,#1
2020-07-12,13,#1
2020-07-13,14,#1
2020-07-14,19,#1
2020-07-15,8,#1
2020-07-16,17,#1
2020-07-17,13,#1
2020-07-18,9,#1
2020-07-19,11,#1
2020-07-20,23,#1
2020-07-21,14,#1
2020-07-22,11,#1
2020-07-23,16,#1
2020-07-24,9,#1
2020-07-25,2,#1
2020-07-26,13,#1
2020-07-27,16,#1
2020-07-28,10,#1
2020-07-29,11,#1
2020-07-30,13,#1
2020-07-31,17,#1
2020-08-01,9,#1
2020-08-02,4,#1
2020-08-03,7,#1
2020-08-04,11,#1
2020-08-05,12,#1
2020-08-06,7,#1
2020-08-07,8,#1
2020-08-08,6,#1
2020-08-09,5,#1
2020-08-10,6,#1
2020-08-11,4,#1
2020-08-12,5,#1
2020-08-13,12,#1
2020-08-14,7,#1
2020-08-15,5,#1
2020-08-16,14,#1
2020-08-17,17,#1
2020-08-18,16,#1
2020-08-19,10,#1
2020-08-20,15,#1
2020-08-21,8,#1
2020-08-22,13,#1
2020-08-23,13,#1
2020-08-24,16,#1
2020-08-25,12,#1
2020-08-26,16,#1
2020-08-27,50,#1
2020-08-28,27,#1
2020-08-29,27,#1
2020-08-30,17,#1
2020-08-31,26,#1
2020-09-01,26,#1
2020-09-02,11,#1
2020-09-03,16,#1
2020-09-04,11,#1
2020-09-05,16,#1
2020-09-06,6,#1
2020-09-07,14,#1
2020-09-08,11,#1
2020-09-09,20,#1
2020-09-10,14,#1
2020-09-11,9,#1
2020-09-12,13,#1
2020-09-13,11,#1
2020-09-14,37,#1
2020-09-15,17,#1
2020-09-16,28,#1
2020-09-17,27,#1
2020-09-18,20,#1
2020-09-19,10,#1
2020-09-20,22,#1
2020-09-21,14,#1
2020-09-22,17,#1
2020-09-23,19,#1
2020-09-24,10,#1
2020-09-25,18,#1
2020-09-26,3,#1
2020-09-27,15,#1
2020-09-28,17,#1
2020-09-29,26,#1
2020-09-30,18,#1
2020-10-01,11,#1
2020-10-02,23,#1
2020-10-03,9,#1
2020-10-04,16,#1
2020-10-05,18,#1
2020-10-06,24,#1
2020-10-07,28,#1
2020-10-08,19,#1
2020-10-09,26,#1
2020-10-10,10,#1
2020-10-11,12,#1
2020-10-12,17,#1
2020-10-13,24,#1
2020-10-14,17,#1
2020-10-15,24,#1
2020-10-16,14,#1
2020-10-17,12,#1
2020-10-18,19,#1
2020-10-19,27,#1
2020-10-20,17,#1
2020-10-21,13,#1
2020-10-22,16,#1
2020-10-23,16,#1
2020-10-24,8,#1
2020-10-25,20,#1
2020-10-26,22,#1
2020-10-27,17,#1
2020-10-28,17,#1
2020-10-29,24,#1
2020-10-30,9,#1
2020-10-31,7,#1
2020-11-01,7,#1
2020-11-02,19,#1
2020-11-03,17,#1
2020-11-04,15,#1
2020-11-05,14,#1
2020-11-06,17,#1
2020-11-07,12,#1
2020-11-08,18,#1
2020-11-09,11,#1
2020-11-10,12,#1
2020-11-11,4,#1
2020-11-12,21,#1
2020-11-13,13,#1
2020-11-14,4,#1
2020-11-15,10,#1
2020-11-16,11,#1
2020-11-17,18,#1
2020-11-18,9,#1
2020-11-19,26,#1
2020-11-20,15,#1
2020-11-21,7,#1
2020-11-22,23,#1
2020-11-23,10,#1
2020-11-24,17,#1
2020-11-25,24,#1
2020-11-26,11,#1
2020-11-27,23,#1
2020-11-28,16,#1
2020-11-29,7,#1
2020-11-30,14,#1
2020-12-01,13,#1
2020-12-02,13,#1
2020-12-03,23,#1
2020-12-04,18,#1
2020-12-05,9,#1
2020-12-06,6,#1
2020-12-07,15,#1
2020-12-08,11,#1
2020-12-09,13,#1
2020-12-10,20,#1
2020-12-11,7,#1
2020-12-12,7,#1
2020-12-13,17,#1
2020-12-14,12,#1
2020-12-15,17,#1
2020-12-16,10,#1
2020-12-17,20,#1
2020-12-18,12,#1
2020-12-19,10,#1
2020-12-20,12,#1
2020-12-21,14,#1
2020-12-22,7,#1
2020-12-23,5,#1
2020-12-24,2,#1
2020-12-25,3,#1
2020-12-26,6,#1
2020-12-27,5,#1
2020-12-28,4,#1
2020-12-29,8,#1
2020-12-30,5,#1
2020-12-31,8,#1
2021-01-01,7,#1
2021-01-02,7,#1
2021-01-03,7,#1
2021-01-04,6,#1
2021-01-05,5,#1
2021-01-06,10,#1
2021-01-07,12,#1
2021-01-08,2,#1
2021-01-09,4,#1
2021-01-10,6,#1
2021-01-11,4,#1
2021-01-12,5,#1
2021-01-13,4,#1
2021-01-14,6,#1
2021-01-15,9,#1
2021-01-16,5,#1
2021-01-17,9,#1
2021-01-18,5,#1
2021-01-19,2,#1
2021-01-20,7,#1
2021-01-21,8,#1
2021-01-22,10,#1
2021-01-23,9,#1
2021-01-24,11,#1
2021-01-25,16,#1
2021-01-26,16,#1
2021-01-27,12,#1
2021-01-28,5,#1
2021-01-29,13,#1
2021-01-30,7,#1
2021-01-31,4,#1
2021-02-01,15,#1
2021-02-02,3,#1
2021-02-03,8,#1
2021-02-04,15,#1
2021-02-05,10,#1
2021-02-06,2,#1
2021-02-07,3,#1
2021-02-08,17,#1
2021-02-09,19,#1
2021-02-10,23,#1
2021-02-11,8,#1
2021-02-12,9,#1
2021-02-13,8,#1
2021-02-14,11,#1
2021-02-15,7,#1
2021-02-16,8,#1
2021-02-17,10,#1
2021-02-18,15,#1
2021-02-19,9,#1
2021-02-20,4,#1
2021-02-21,11,#1
2021-02-22,8,#1
2021-02-23,27,#1
2021-02-24,20,#1
2021-02-25,13,#1
2021-02-26,14,#1
2021-02-27,15,#1
2021-02-28,12,#1
2021-03-01,13,#1
2021-03-02,15,#1
2021-03-03,12,#1
2021-03-04,11,#1
2021-03-05,11,#1
2021-03-06,10,#1
2021-03-07,5,#1
2021-03-08,21,#1
2021-03-09,34,#1
2021-03-10,12,#1
2021-03-11,14,#1
2021-03-12,12,#1
2021-03-13,8,#1
2021-03-14,9,#1
2021-03-15,16,#1
2021-03-16,13,#1
2021-03-17,16,#1
2021-03-18,12,#1
2021-03-19,13,#1
2021-03-20,8,#1
2021-03-21,10,#1
2021-03-22,15,#1
2021-03-23,26,#1
2021-03-24,20,#1
2021-03-25,41,#1
2021-03-26,13,#1
2021-03-27,12,#1
2021-03-28,20,#1
2021-03-29,14,#1
2021-03-30,19,#1
2021-03-31,20,#1
2021-04-01,39,#1
2021-04-02,10,#1
2021-04-03,10,#1
2021-04-04,5,#1
2021-04-05,17,#1
2021-04-06,18,#1
2021-04-07,22,#1
2021-04-08,22,#1
2021-04-09,7,#1
2021-04-10,6,#1
2021-04-11,15,#1
2021-04-12,13,#1
2021-04-13,22,#1
2021-04-14,19,#1
2021-04-15,24,#1
2021-04-16,23,#1
2021-04-17,11,#1
2021-04-18,15,#1
2021-04-19,13,#1
2021-04-20,13,#1
2021-04-21,12,#1
2021-04-22,20,#1
2021-04-23,10,#1
2021-04-24,15,#1
2021-04-25,9,#1
